PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Idaho,20121106,N/A,ADA,County,"180,562","97,554","Romney, W. Mitt",Challenger,"77,137","Obama, Barack H.",Incumbent,Libertarian,"3,422","Johnson, Gary E.",Challenger,"2,449","20,417",R,54.03,42.72,1.90,1.36,55.84,44.16,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16",,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16"
President,Idaho,20121106,N/A,MADISON,County,"14,412","13,445","Romney, W. Mitt",Challenger,832,"Obama, Barack H.",Incumbent,Libertarian,84,"Johnson, Gary E.",Challenger,51,"12,613",R,93.29,5.77,.58,.35,94.17,5.83,"The other vote was: Anderson, Ross C. (Justice) 12; Stein, Jill (Green) 26; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 12; Stein, Jill (Green) 26; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,MINIDOKA,County,"6,973","5,442","Romney, W. Mitt",Challenger,"1,390","Obama, Barack H.",Incumbent,Libertarian,55,"Johnson, Gary E.",Challenger,86,"4,052",R,78.04,19.93,.79,1.23,79.65,20.35,"The other vote was: Anderson, Ross C. (Justice) 34; Stein, Jill (Green) 36; Goode, Virgil H. Jr. (Write-in) 16; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 34; Stein, Jill (Green) 36; Goode, Virgil H. Jr. (Write-in) 16; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,NEZ PERCE,County,"16,850","9,967","Romney, W. Mitt",Challenger,"6,451","Obama, Barack H.",Incumbent,Libertarian,194,"Johnson, Gary E.",Challenger,238,"3,516",R,59.15,38.28,1.15,1.41,60.71,39.29,"The other vote was: Anderson, Ross C. (Justice) 82; Stein, Jill (Green) 107; Goode, Virgil H. Jr. (Write-in) 47; Scattered Write-In (Write-in) 2",,"The other vote was: Anderson, Ross C. (Justice) 82; Stein, Jill (Green) 107; Goode, Virgil H. Jr. (Write-in) 47; Scattered Write-In (Write-in) 2"
President,Idaho,20121106,N/A,ONEIDA,County,"2,089","1,838","Romney, W. Mitt",Challenger,217,"Obama, Barack H.",Incumbent,Libertarian,19,"Johnson, Gary E.",Challenger,15,"1,621",R,87.98,10.39,.91,.72,89.44,10.56,"The other vote was: Anderson, Ross C. (Justice) 7; Stein, Jill (Green) 6; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 7; Stein, Jill (Green) 6; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,OWYHEE,County,"3,724","2,794","Romney, W. Mitt",Challenger,833,"Obama, Barack H.",Incumbent,Libertarian,31,"Johnson, Gary E.",Challenger,66,"1,961",R,75.03,22.37,.83,1.77,77.03,22.97,"The other vote was: Anderson, Ross C. (Justice) 16; Stein, Jill (Green) 24; Goode, Virgil H. Jr. (Write-in) 26; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 16; Stein, Jill (Green) 24; Goode, Virgil H. Jr. (Write-in) 26; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,PAYETTE,County,"8,495","6,004","Romney, W. Mitt",Challenger,"2,271","Obama, Barack H.",Incumbent,Libertarian,88,"Johnson, Gary E.",Challenger,132,"3,733",R,70.68,26.73,1.04,1.55,72.56,27.44,"The other vote was: Anderson, Ross C. (Justice) 26; Stein, Jill (Green) 84; Goode, Virgil H. Jr. (Write-in) 22; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 26; Stein, Jill (Green) 84; Goode, Virgil H. Jr. (Write-in) 22; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,POWER,County,"2,904","1,870","Romney, W. Mitt",Challenger,982,"Obama, Barack H.",Incumbent,Libertarian,21,"Johnson, Gary E.",Challenger,31,888,R,64.39,33.82,.72,1.07,65.57,34.43,"The other vote was: Anderson, Ross C. (Justice) 13; Stein, Jill (Green) 13; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 13; Stein, Jill (Green) 13; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 1"
President,Idaho,20121106,N/A,SHOSHONE,County,"5,148","2,699","Romney, W. Mitt",Challenger,"2,277","Obama, Barack H.",Incumbent,Libertarian,71,"Johnson, Gary E.",Challenger,101,422,R,52.43,44.23,1.38,1.96,54.24,45.76,"The other vote was: Anderson, Ross C. (Justice) 27; Stein, Jill (Green) 53; Goode, Virgil H. Jr. (Write-in) 21; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 27; Stein, Jill (Green) 53; Goode, Virgil H. Jr. (Write-in) 21; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,TETON,County,"4,523","2,458","Romney, W. Mitt",Challenger,"1,926","Obama, Barack H.",Incumbent,Libertarian,67,"Johnson, Gary E.",Challenger,72,532,R,54.34,42.58,1.48,1.59,56.07,43.93,"The other vote was: Anderson, Ross C. (Justice) 21; Stein, Jill (Green) 43; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 21; Stein, Jill (Green) 43; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,TWIN FALLS,County,"28,145","19,773","Romney, W. Mitt",Challenger,"7,541","Obama, Barack H.",Incumbent,Libertarian,348,"Johnson, Gary E.",Challenger,483,"12,232",R,70.25,26.79,1.24,1.72,72.39,27.61,"The other vote was: Anderson, Ross C. (Justice) 145; Stein, Jill (Green) 232; Goode, Virgil H. Jr. (Write-in) 103; Scattered Write-In (Write-in) 3",,"The other vote was: Anderson, Ross C. (Justice) 145; Stein, Jill (Green) 232; Goode, Virgil H. Jr. (Write-in) 103; Scattered Write-In (Write-in) 3"
